transacao_id;data_hora;cliente_id;categoria;valor_venda;estado;status;detalhes_acesso
1001;2026-01-01 00:00:00;C052;Casa;96.33;RS;Pendente;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
1002;2026-01-01 00:15:00;C093;Casa;131.63;SP;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1003;2026-01-01 00:30:00;C015;Moda;42.93;RS;Pendente;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
1004;2026-01-01 00:45:00;C072;Eletrônicos;710.99;PE;Cancelado;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1005;2026-01-01 01:00:00;C061;Moda;221.75;SP;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1006;2026-01-01 01:15:00;C021;Moda;111.15;PR;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1007;2026-01-01 01:30:00;C083;Casa;146.45;RJ;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1008;2026-01-01 01:45:00;C087;Casa;168.19;PR;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1009;2026-01-01 02:00:00;C075;Moda;249.44;PR;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1010;2026-01-01 02:15:00;C075;Esportes;201.25;RS;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1011;2026-01-01 02:30:00;C088;Casa;649.54;PE;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1012;2026-01-01 02:45:00;C100;Eletrônicos;191.77;RJ;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1013;2026-01-01 03:00:00;C024;Eletrônicos;1232.07;SP;Cancelado;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1014;2026-01-01 03:15:00;C003;Eletrônicos;496.67;SP;Concluído;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
1015;2026-01-01 03:30:00;C022;Eletrônicos;;BA;Cancelado;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1016;2026-01-01 03:45:00;C053;Eletrônicos;686.95;MG;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1017;2026-01-01 04:00:00;C002;Eletrônicos;50.93;BA;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1018;2026-01-01 04:15:00;C088;Moda;445.18;BA;Concluído;"{""sistema"": ""Web"", ""versao_app"": ""N/A""}"
1019;2026-01-01 04:30:00;C030;Eletrônicos;139.76;SP;Cancelado;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
1020;2026-01-01 04:45:00;C038;Livros;545.88;RS;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1021;2026-01-01 05:00:00;C002;Eletrônicos;526.35;PR;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1022;2026-01-01 05:15:00;C064;Moda;;PE;Cancelado;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
1023;2026-01-01 05:30:00;C060;Moda;;PR;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1024;2026-01-01 05:45:00;C021;Esportes;110.85;PR;Pendente;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1025;2026-01-01 06:00:00;C033;Eletrônicos;41.1;RJ;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1026;2026-01-01 06:15:00;C076;Moda;148.95;SP;Concluído;"{""sistema"": ""Android"", ""versao_app"": ""2.1""}"
1027;2026-01-01 06:30:00;C058;Esportes;67.65;PE;Concluído;"{""sistema"": ""iOS"", ""versao_app"": ""2.2""}"
